"","NLM__n1","NLM__n2","NLM__n3","NLM__n4","NLM__n5","NLM__n6"
"1",3,1350.37072753906,0.0516860075294971,17.5876750946045,43200.01953125,23095.693359375
"2",1,254.911743164062,0.0135029796510935,0.665413320064545,44372.59765625,22857.798828125
"3",1,318.639678955078,0.0772801712155342,22.2287311553955,44554.3515625,22806.625
"4",3,280.692443847656,0.159328654408455,0.419665068387985,46914.79296875,22389.6484375
"5",1,57,0.0447250418365002,0.0123214395716786,46581.328125,23742.70703125
"6",3,243.504104614258,0.0095604108646512,4.57188653945923,42838.921875,25123.00390625
"7",1,153.477203369141,0.523424327373505,17.8380241394043,40384.2578125,26063.16796875
"8",3,142.5,0.485347300767899,19.3512573242188,40440.4140625,26020.5625
"9",1,806.605407714844,0.0813954845070839,10.6871643066406,32762.779296875,33894.46875
"10",1,513.791076660156,0.0414539016783237,1.52471649646759,32711.271484375,34263.8984375
"11",1,245.166275024414,0.193014144897461,0.0963194966316223,26471.162109375,39177.83984375
"12",1,318.639678955078,0.118331514298916,17.0532493591309,26515.142578125,39047.80859375
"13",3,360.499664306641,0.027257326990366,6.71448421478271,25245.69140625,43520.8515625
"14",1,382.367614746094,0.0142713636159897,9.60708904266357,25273.345703125,43550.48046875
"15",3,280.692443847656,0.0135940331965685,3.17000460624695,28910.310546875,44460.2265625
"16",2,80.6101760864258,0.00590965058654547,5.36969661712646,30695.1484375,43125.78515625
"17",3,201.525436401367,0.0195311401039362,20.4938068389893,30637.857421875,43406.3515625
"18",1,40.3050880432129,0.0704883858561516,0,32929.6484375,44421.63671875
"19",0,28.5,NA,0,32952.5703125,44400.59375
"20",0,28.5,NA,0,32952.5703125,44400.59375
"21",1,57,0.0685345157980919,0,32969.51171875,44419.82421875
"22",0,28.5,NA,0,32952.5703125,44400.59375
"23",1,456.889770507812,0.0140078226104379,0,36492.4765625,36739.328125
"24",1,459.548706054688,0.0183191243559122,0,36504.5078125,36759.3203125
"25",1,387.641906738281,0.014434764161706,9.1419563293457,36510.28125,36578.46875
"26",1,28.5,0.0255722645670176,0,36696.78125,35793.6640625
"27",3,63.7279357910156,0.0644093677401543,2.90716862678528,46195.328125,30538.810546875
"28",1,347.886840820312,0.115345060825348,0,45813.578125,29983.583984375
"29",1,830.91064453125,0.286127269268036,0.173530772328377,38945.74609375,25464.9375
"30",1,2007.986328125,0.484868407249451,0,41101.16015625,23184.09765625
"31",0,229.774353027344,NA,0,45300.703125,18678.984375
"32",1,229.774353027344,0.141169905662537,0,47858.63671875,16001.931640625
"33",1,127.455871582031,0.0567155927419662,0,53756.10546875,17487.94921875
"34",3,171,0.0807327181100845,2.37548589706421,52595.7890625,21878.68359375
"35",3,403.050872802734,0.0990712121129036,6.1909499168396,49047.16796875,21663.599609375
"36",1,513.791076660156,0.0234856195747852,4.02043533325195,48837.1328125,21853.107421875
"37",3,254.911743164062,0.0592635907232761,0.484329044818878,47481.796875,23661.953125
"38",3,370.5,0.0249535497277975,9.00992774963379,46643.53125,24000.40234375
"39",1,145.322052001953,0.0449137948453426,0.0917859449982643,46823.73046875,23282.89453125
"40",3,509.823486328125,0.369037657976151,6.48377323150635,49411.93359375,21316.01953125
"41",1,505.021301269531,0.424978107213974,0.250191926956177,49585.49609375,21093.736328125
"42",0,28.5,0.366647005081177,0,54124.58984375,22483.103515625
"43",1,63.7279357910156,0.234216958284378,0,55034.64453125,22326.6171875
"44",3,285,0.0122045902535319,32.0747413635254,55109.72265625,22541.048828125
"45",1,285,0.015192799270153,19.804370880127,54357.16015625,23641.77734375
"46",0,117.508506774902,0.396271914243698,0,52740.8046875,24696.857421875
"47",1,120.915260314941,0.66780686378479,0,52540.9296875,24853.51953125
"48",1,102.758209228516,0.167022153735161,1.65760040283203,51158.73046875,26220.0625
"49",1,153.477203369141,0.32298681139946,0,52450.4140625,26475.396484375
"50",3,63.7279357910156,0.0482882894575596,0.553117394447327,54445.48046875,28293.265625
"51",1,28.5,0.466673344373703,0,58647.578125,23029.076171875
"52",1,28.5,0.0247677359730005,0.0293079894036055,58712.85546875,22936.623046875
"53",1,332.3642578125,0.26025003194809,0.647321820259094,59407.359375,22744.53515625
"54",1,497.731109619141,0.322040855884552,0,59645.2421875,22532.328125
"55",1,171,0.0691422745585442,0.253613501787186,62019.3671875,16235.947265625
"56",1,270.374725341797,0.0135436477139592,2.61111545562744,62210.296875,16183.283203125
"57",1,243.504104614258,0.0127109922468662,0,62212.86328125,16211.390625
"58",1,374.858978271484,0.089952826499939,0,62342.11328125,16095.234375
"59",1,370.5,0.118180967867374,1.34900081157684,61400.40234375,17283.716796875
"60",1,120.915260314941,0.0684826895594597,0.170715883374214,61164.671875,17572.37109375
"61",0,28.5,0.0125745479017496,0,61955.85546875,15607.93359375
"62",1,191.183807373047,0.0633079037070274,0,61927.4296875,14305.666015625
"63",3,270.374725341797,0.0677814558148384,3.45217323303223,60106.609375,10293.2353515625
"64",1,205.516418457031,0.0455431640148163,0.00114558031782508,59139.2578125,10830.9375
"65",3,229.774353027344,0.171346083283424,0.0983821228146553,59260.3828125,11400.03515625
"66",3,456,0.169069930911064,1.51186227798462,60021.0625,10485.71484375
"67",3,102.758209228516,0.19847446680069,4.1350269317627,59094.90625,12627.55859375
"68",1,657.973571777344,0.0107650430873036,0,58382.1171875,15058.4951171875
"69",3,414.966278076172,0.0532151907682419,3.00014281272888,58633.31640625,14985.3095703125
"70",1,739.903015136719,0.0159323681145906,0,58351.1015625,15375.3203125
"71",1,739.903015136719,0.0159323681145906,0,58351.1015625,15375.3203125
"72",1,803.073181152344,0.116652876138687,0,58221.671875,17448.052734375
"73",1,777.898620605469,0.0519787669181824,0,58193.37890625,17450.49609375
"74",1,57,0.0603879876434803,1.80135190486908,58878.1015625,18951.79296875
"75",1,616.549255371094,0.0223844740539789,0,57882.2109375,18572.40234375
"76",1,347.886840820312,0.0107865333557129,0.49261075258255,56874.92578125,16984.494140625
"77",1,63.7279357910156,0.0294631347060204,0,58539.6953125,10116.1748046875
"78",1,114,0.0279806368052959,0.778163194656372,60306.546875,10169.3896484375
"79",1,80.6101760864258,0.134303510189056,0.0519071891903877,57526.37109375,8374.2490234375
"80",3,166.18212890625,0.0236698966473341,1.80213701725006,54321.06640625,8216.5556640625
"81",3,382.367614746094,0.016528507694602,2.78675246238708,54102.6484375,8011.7451171875
"82",3,637.279357910156,0.0120307663455606,0.0151672903448343,53163.921875,8477.8759765625
"83",1,207.483139038086,0.0204710494726896,1.91056907176971,52281.16796875,9568.95703125
"84",3,217.049530029297,0.0203603003174067,1.93163907527924,52278.984375,9587.91015625
"85",3,90.1249160766602,0.0168106909841299,3.66108465194702,53049.703125,10419.625
"86",3,344.366821289062,0.00645172456279397,0.969107925891876,52617.16015625,10793.7138671875
"87",1,399,0.072303518652916,0,51008.03515625,14468.82421875
"88",1,90.1249160766602,0.0100232837721705,0.068643793463707,49366.1640625,15717.1748046875
"89",1,28.5,0.0248181447386742,0,44323.66796875,19694.67578125
"90",3,201.525436401367,0.0496698021888733,6.24689960479736,44238.3984375,20097.189453125
"91",1,262.757019042969,0.0804410949349403,26.1760025024414,42963.21875,22086.966796875
"92",3,1453.22058105469,0.0262853261083364,25.2642002105713,43083.2265625,23157.24609375
"93",1,1064.08483886719,0.0381207279860973,0.105722226202488,43129.01171875,24290.845703125
"94",3,1164.32177734375,0.261539459228516,5.06931495666504,43943.15625,24946.537109375
"95",1,1211.83666992188,0.108261607587337,0,42815.5078125,27562.15234375
"96",2,1083.37487792969,0.574988663196564,0,42657.046875,27694.638671875
"97",2,1037.41564941406,0.515907824039459,0,42671.36328125,27738.01171875
"98",3,584.771118164062,0.233121871948242,0,44103.21484375,27617.220703125
"99",2,605.918334960938,0.224375024437904,2.9122588634491,44110.71875,27639.90234375
"100",2,565.708862304688,0.214031279087067,0,44130.7109375,27599.96484375
"101",3,290.644104003906,0.00878275372087955,4.67901039123535,46682.21875,23897.654296875
"102",3,262.757019042969,0.00665331678465009,3.09498429298401,46676.53515625,23874.173828125
"103",1,262.757019042969,0.0397839322686195,0.42815637588501,47196.89453125,23793.11328125
"104",1,142.5,0.0102720130234957,4.03427362442017,49746.37109375,19698.345703125
"105",3,57,0.044038150459528,0,53580.64453125,13424.5888671875
"106",3,344.366821289062,0.0639422759413719,0.00731771299615502,56691.72265625,9948.5009765625
"107",1,282.135620117188,0.0234119184315205,0.0420413091778755,58855.54296875,9784.8427734375
"108",1,285,0.0305885728448629,0.00657220650464296,58798.84375,9759.0341796875
"109",1,535.466369628906,0.0164127442985773,0,62016.41796875,10508.42578125
"110",1,145.322052001953,0.171952053904533,0,59228.375,11172.1455078125
"111",1,333.583953857422,0.056068729609251,0.046972218900919,59059.48828125,11316.796875
"112",1,290.644104003906,0.0708359852433205,0.00112504267599434,59087.10546875,11259.267578125
"113",1,28.5,0.0128993941470981,0,60649.5078125,10040.1337890625
"114",1,145.322052001953,0.00893195439130068,0,59632.25,6530.4814453125
"115",1,688.733642578125,0.00737242819741368,0,57718.19140625,4948.341796875
"116",3,1083.37487792969,0.00867199711501598,5.63593244552612,57498.4296875,4741.37548828125
"117",1,2239.20068359375,0.00808322336524725,15.8935604095459,57097.56640625,4061.92504882812
"118",1,2218.24487304688,0.0100409965962172,8.99202823638916,57093.9296875,4083.56372070312
"119",3,2640.67529296875,0.021773848682642,12.9392023086548,55379.3203125,5088.18798828125
"120",1,2594.12622070312,0.00819012150168419,0,54271.25,6111.572265625
"121",1,1382.47033691406,0.0077241538092494,1.19491171836853,53074.078125,7183.41357421875
"122",3,1300.11242675781,0.0112669616937637,0.157405585050583,52940.859375,7281.56884765625
"123",3,1351.27270507812,0.0118412552401423,0.348512500524521,52978.07421875,7238.8876953125
"124",2,850.236755371094,0.0131022250279784,0.0165194887667894,52139.01953125,8278.158203125
"125",1,117.508506774902,0.0234093442559242,0,51187.33984375,12867.900390625
"126",1,127.455871582031,0.0255622882395983,0.127663493156433,51187.140625,12890.068359375
"127",3,290.644104003906,0.021392835304141,2.83438158035278,48820.70703125,14631.634765625
"128",1,593.046569824219,0.00336816743947566,3.43463087081909,47139.421875,15840.5908203125
"129",1,530.130615234375,0.00351394643075764,0,47111.19921875,15825.9453125
"130",1,347.886840820312,0.00614675041288137,0.694146811962128,46998.1953125,15823.55859375
"131",1,564.271240234375,0.0127434739843011,0.153074592351913,47196.859375,15742.0126953125
"132",1,564.271240234375,0.0127434739843011,0.153074592351913,47196.859375,15742.0126953125
"133",1,544.491760253906,0.00526599539443851,0.0151123786345124,47168.359375,15763.9013671875
"134",1,667.7763671875,0.00609381636604667,2.22272133827209,47224.80859375,15793.5517578125
"135",1,810.122192382812,0.00306312111206353,0.744015395641327,47338.63671875,15893.318359375
"136",2,868.665771484375,0.00338708027265966,0.658106505870819,47310.03515625,15877.2373046875
"137",1,201.525436401367,0.0145906796678901,0.249825298786163,51272.83984375,12814.2919921875
"138",3,487.008209228516,0.0104957995936275,0.719746947288513,54366.00390625,10292.328125
"139",1,166.18212890625,0.080349288880825,0,59943.1171875,8317.1669921875
"140",1,173.358734130859,0.0971966460347176,0.00677663367241621,59120.19140625,8210.423828125
"141",3,322.440704345703,0.00878154207020998,0.00301310047507286,58208.8359375,4706.21240234375
"142",1,332.3642578125,0.00814900547266006,0,58112.3671875,4840.3876953125
"143",1,2023.5,0.00929793249815702,18.116096496582,57242.33203125,3667.984375
"144",1,2023.5,0.00929793249815702,18.116096496582,57242.33203125,3667.984375
"145",1,940.5,0.00577506050467491,2.18988680839539,57399.02734375,2991.2783203125
"146",1,360.499664306641,0.00962886307388544,3.69113826751709,57125.18359375,3057.48022460938
"147",1,685.186462402344,0.0158564206212759,0.401941329240799,56922.578125,3289.86791992188
"148",3,766.856567382812,0.0158212501555681,9.75451278686523,56903.91015625,3326.20751953125
"149",1,999.127258300781,0.031630877405405,8.83024597167969,56509.16796875,3676.3896484375
"150",3,1454.6171875,0.0198238473385572,26.4768962860107,56040.24609375,4143.39404296875
"151",1,1429.552734375,0.017942002043128,0.667246997356415,56058.37109375,4123.44873046875
"152",1,2985.0263671875,0.0119239995256066,0.317427575588226,55252.12109375,5597.40283203125
"153",1,1916.08190917969,0.020573616027832,4.82813358306885,53483.51171875,6712.09814453125
"154",1,2507.51416015625,0.0124174561351538,9.44747734069824,53903.94921875,6279.5791015625
"155",1,343.185455322266,0.00343953259289265,0,58005.23828125,2196.1650390625
"156",1,463.946380615234,0.00304411980323493,0,58150.53125,2052.79150390625
"157",1,1282.81665039062,0.0142801227048039,0.983329713344574,61066.2421875,5782.12939453125
"158",3,280.692443847656,0.019433906301856,7.94860744476318,62454.57421875,8733.099609375
"159",1,270.374725341797,0.0477633327245712,2.16655349731445,61027.125,9508.28515625
"160",3,63.7279357910156,0.0178182553499937,1.04854238033295,60737.6796875,9770.22265625
"161",3,2113.80859375,0.0133727770298719,3.7152247428894,56484.9375,5047.3974609375
"162",1,2218.24487304688,0.0100409965962172,8.99202823638916,57093.9296875,4083.56372070312
"163",1,1841.94689941406,0.0137066626921296,11.4000225067139,57608.3984375,3287.89233398438
"164",3,816.115783691406,0.00570081500336528,34.041633605957,57092.359375,3200.76708984375
"165",3,1403.46228027344,0.00833538174629211,3.14416360855103,57095.62890625,4980.9814453125
"166",1,1353.97497558594,0.00814266316592693,0,57321.74609375,4659.1181640625
"167",3,1265.92626953125,0.00753730116412044,7.36303758621216,57403.59375,4642.3515625
"168",1,1169.88940429688,0.00919010397046804,4.40046548843384,57516.90625,4588.85400390625
"169",1,1047.93225097656,0.00919561181217432,0,61510.69921875,5700.71240234375
"170",1,570,0.00866838824003935,0.238944530487061,58799.16796875,4348.84228515625
"171",3,1162.57641601562,0.0144074466079473,4.48586130142212,58307.87890625,3842.7470703125
"172",1,1454.6171875,0.0115632936358452,3.10820484161377,58514.9140625,3489.24267578125
"173",1,743.189086914062,0.00536704296246171,0.253143697977066,59607.29296875,748.091064453125
"174",1,1202.41625976562,0.0117019638419151,5.30481290817261,59590.28515625,1111.5
"175",1,1297.92395019531,0.0201996620744467,24.4878215789795,59661.390625,1162.92578125
"176",3,1399.11486816406,0.00853576045483351,11.026873588562,57331.24609375,4585.046875
"177",1,1505.92236328125,0.00954575650393963,1.26096975803375,57186.45703125,4682.68115234375
"178",1,1233.09851074219,0.0107818022370338,14.2829847335815,57463.37890625,4590.18115234375
"179",1,1162.92578125,0.0192365888506174,0,57548.359375,4550.46044921875
